src_id,dst_id,src_type,dst_type,distance,speed,density,queue,SNR_db,link_type,blockage_prob,label
1,104,1,2,318.726283931956,1.22224611003967,0.2,29,13.664323573484,2,0,1
2,89,1,1,481.008317905915,24.7492937713692,0.2,12,5.61540731285262,2,0,0
101,9,2,1,66.8349163982617,16.4372011858071,0,7,10.604579982575,2,0,1
4,47,1,1,256.609099047087,19.7777491008496,0.2,5,18.2637805355806,2,0,1
101,103,2,2,244.512702847627,19.2644507888122,0,0,-4.85764620152102,2,0,0
6,104,1,2,296.163449102092,9.69469780023402,0.24,40,18.910524281009,2,0,0
104,82,2,1,143.564084228297,13.9632342803949,0,5,18.5198172728028,2,0,1
8,104,1,2,281.485165846111,29.3825442766741,0.26,36,23.4938945000279,2,0,1
104,46,2,1,80.9273502715534,19.9943534657226,0,10,37.2993953825595,2,0,1
10,104,1,2,277.310423170369,2.99366316000862,0.26,11,23.6759228547495,2,0,1
103,2,2,1,271.796131773959,14.0815953619845,0,2,20.9856365444901,2,0,1
102,64,2,1,104.74938549353,5.16488776597917,0,5,23.8808882835457,2,0,1
13,35,1,1,127.685397677981,36.1549087022112,0.2,22,-8.01004787660692,1,0.999999997169746,0
14,13,1,1,7.74797156297109,31.4269036497273,0.19,29,45.401579262245,1,0,1
104,103,2,2,48.5516229909167,1.22155919709728,0,3,33.0086033245734,2,0,1
16,104,1,2,233.175805707495,33.8901340628557,0.2,12,19.2156606831635,2,0,1
17,3,1,1,91.549643979331,31.2539141016322,0.17,39,-8.69478757892288,1,0.999999982932971,0
18,37,1,1,100.766987753711,7.2555022900125,0.17,31,-12.0390833676638,1,0.99999994121876,0
19,29,1,1,48.7796779562073,34.7106277190547,0.19,23,5.18412912321666,1,0.999558815047129,0
20,104,1,2,214.240141361159,20.974420518942,0.19,23,20.1013188816498,2,0,1
21,62,1,1,224.196481688936,31.4004504786024,0.19,17,23.1203798804146,2,0,1
22,7,1,1,82.0710114069969,34.8479949970247,0.18,12,32.2364105960279,2,0,1
104,101,2,2,292.985050431332,2.48594446971089,0,8,26.9623008008853,2,0,1
103,102,2,2,10.2959696629349,10.4613084953824,0,3,40.0490326392138,2,0,1
102,101,2,2,239.888468699178,10.8710572222798,0,9,10.5426697053135,2,0,1
26,75,1,1,275.60516434718,16.6097473354655,0.17,0,25.7734688919795,2,0,1
27,101,1,2,138.297919276506,31.8116853414303,0.19,4,30.7528132728662,2,0,1
103,101,2,2,244.512702847627,8.0170283352728,0,5,17.7285219563748,2,0,1
29,102,1,2,130.780485248271,0.270360631768527,0.19,30,28.6477413115559,2,0,1
104,6,2,1,296.163449102092,10.3767611425214,0,6,24.2848180703932,2,0,1
31,102,1,2,115.998586747822,16.2326501224525,0.19,18,32.1018385575644,2,0,1
32,92,1,1,178.925685970066,8.63752596275062,0.18,5,23.9386336393276,2,0,1
101,103,2,2,244.512702847627,8.29248247454047,0,0,12.8513165893115,2,0,1
34,101,1,2,180.892702747844,13.1294788879189,0.16,21,16.4923353915164,2,0,1
35,102,1,2,98.5187771284095,36.6687107077091,0.16,8,27.7133611239617,2,0,1
36,11,1,1,129.818614077252,12.5690029119183,0.16,18,-15.9462064151901,1,0.999999999808698,0
37,101,1,2,187.636363349246,20.1751908455753,0.16,12,21.2241128214332,2,0,1
38,104,1,2,118.774298757582,27.3396261792569,0.17,24,22.6943325362387,2,0,1
39,104,1,2,117.073692683287,14.1411512036392,0.17,27,34.6197325160302,2,0,1
40,84,1,1,250.394442260688,37.7915254391485,0.18,3,2.69137362946205,2,0,0
101,103,2,2,244.512702847627,11.5303295102851,0,3,11.2889219717934,2,0,1
103,92,2,1,274.658426294105,12.0103372086731,0,7,16.8566973901245,2,0,1
43,101,1,2,233.816681768859,19.337441895815,0.21,20,18.1388112777035,2,0,1
44,60,1,1,76.0166510893897,11.700823159541,0.21,34,-0.61998805070674,1,0.999999098057475,0
45,104,1,2,82.4930875951439,11.0771303369015,0.21,25,24.9473148197492,2,0,1
102,103,2,2,10.2959696629349,3.70265857677239,0,5,43.757568516757,2,0,1
104,101,2,2,292.985050431332,3.61150690254667,0,6,12.8133844733333,2,0,1
48,102,1,2,68.9087597259642,19.5486286811224,0.19,32,20.6989355513288,2,0,1
49,101,1,2,254.478606792605,2.00195143749959,0.19,1,11.6472405539839,2,0,1
101,30,2,1,157.505746374193,2.20948226262789,0,3,21.6598337991611,2,0,1
51,104,1,2,67.4977754991151,35.3214511209254,0.19,35,33.2993274511275,2,0,1
52,18,1,1,180.557804575293,9.31629574816004,0.2,22,17.5860378580114,2,0,1
103,23,2,1,152.202110753993,3.0779181267971,0,8,24.3251145405059,2,0,1
104,103,2,2,48.5516229909167,17.242552345309,0,8,37.5281346439358,2,0,1
55,101,1,2,267.401329720909,38.33085099319,0.19,21,11.6157991983659,2,0,1
104,103,2,2,48.5516229909167,14.1672595343007,0,9,33.2525935942264,2,0,1
57,101,1,2,279.567669723704,26.1386046213397,0.22,40,17.7162530763516,2,0,1
58,103,1,2,69.6026100394461,29.6185405961168,0.22,12,21.6337956022549,2,0,1
59,101,1,2,302.628318184122,9.24146004414887,0.2,40,15.1360825871285,2,0,1
101,78,2,1,411.123300974467,0.442471030579945,0,3,11.3169841057442,2,0,1
61,103,1,2,85.81223254921,14.3026773835265,0.2,10,41.2264840948696,2,0,1
102,4,2,1,265.466659448222,17.8819840735827,0,2,14.281183390301,2,0,1
63,103,1,2,91.3531614657662,24.6372665295903,0.16,5,22.5061284618499,2,0,1
64,102,1,2,104.74938549353,20.8356821584628,0.16,1,16.4328265548975,2,0,1
65,61,1,1,18.9627459115955,3.51126883544921,0.15,4,36.8427511163202,1,0.855449087424296,1
66,101,1,2,334.32441048429,32.4839859395815,0.15,28,17.0852361304745,2,0,1
67,8,1,1,320.995143809276,12.4747803044564,0.15,2,8.46040660849147,2,0,0
68,101,1,2,345.030457821786,7.253497626661,0.16,17,-0.618002010197309,2,0,0
69,101,1,2,357.80180229282,1.58569994935193,0.17,37,17.9219389255431,2,0,0
70,104,1,2,81.4053014891267,22.9791700128761,0.17,0,23.0039821841265,2,0,1
71,87,1,1,104.071117017869,26.3497251827554,0.17,34,-6.19375839135665,1,0.99999849497057,0
104,63,2,1,59.5717612862763,8.43441853746911,0,3,31.3076673586309,2,0,1
102,52,2,1,70.7987486210871,4.94462148806354,0,9,31.8415311125032,2,0,1
102,52,2,1,70.7987486210871,4.72100926692928,0,0,33.8696295725373,2,0,1
75,103,1,2,157.505130305268,25.0900529603675,0.15,27,28.2684173066091,2,0,1
76,101,1,2,396.991616566114,6.78091668352744,0.15,38,19.0674815321512,2,0,1
103,102,2,2,10.2959696629349,17.3583658904004,0,5,41.6001264896012,2,0,1
78,101,1,2,411.123300974467,15.0397079116876,0.15,30,11.403962187394,2,0,1
103,102,2,2,10.2959696629349,13.5302677155449,0,2,40.2245695146844,2,0,1
102,104,2,2,54.6214224630741,6.54066323126477,0,7,25.7475641539874,2,0,1
81,102,1,2,195.458886607786,13.2636914297323,0.18,32,18.0039176058818,2,0,1
82,103,1,2,190.26891951704,4.41285915935624,0.18,32,12.9128315194582,2,0,1
83,65,1,1,105.554309804302,35.9603073774997,0.18,37,-10.5726125871137,1,0.9999998277727,0
84,81,1,1,21.6725075206775,34.1187526314826,0.13,16,34.5224336617458,1,0.373794557381406,1
85,103,1,2,214.286656243389,10.0310633000338,0.13,17,25.5805091557901,2,0,1
86,102,1,2,226.792424821792,25.6660462346625,0.13,31,20.1560683330364,2,0,1
87,59,1,1,161.668789697595,31.7808633411584,0.12,13,-12.5536453103398,1,0.999999999991216,0
88,102,1,2,230.426071271782,21.5911426733124,0.12,36,-3.14544668969349,2,0,0
103,90,2,1,227.566808722235,5.48321333119612,0,0,21.3711144256989,2,0,1
101,103,2,2,244.512702847627,10.8002382920902,0,9,19.6246445474628,2,0,1
91,54,1,1,282.380955340733,3.62066319245164,0.2,34,21.9689173400093,2,0,1
104,103,2,2,48.5516229909167,10.7991426056112,0,9,43.1251904567661,2,0,1
93,94,1,1,2.88807211743576,35.016257778574,0.2,7,55.0624523787061,1,0.622906155101498,1
102,104,2,2,54.6214224630741,17.5594864089014,0,9,30.0552491665992,2,0,1
104,101,2,2,292.985050431332,9.74123837637872,0,6,15.4099534424471,2,0,1
96,103,1,2,265.788771683465,13.5803723460479,0.2,35,4.18159905762704,2,0,0
97,7,1,1,27.5385539345236,28.2316097338426,0.2,13,10.4124917317334,1,0.947217686692098,1
98,11,1,1,47.695268455202,34.887621220378,0.23,35,-6.13688031538936,1,0.997309403604115,0
102,83,2,1,202.883186293864,3.8924502364153,0,4,23.2703716068559,2,0,1
100,101,1,2,67.7447402468433,30.3284934500187,0.27,0,26.7166671447551,2,0,1
1,69,1,1,359.236191497301,33.4977220808003,0.16,8,18.9184244997071,2,0,1
2,31,1,1,116.202035588063,32.9200020601775,0.17,21,-12.3103970302892,1,0.999999999996305,0
3,87,1,1,420.916715786949,35.7360318637604,0.17,38,12.1812765652943,2,0,1
104,92,2,1,151.392098608257,5.60074659100979,0,9,24.6320005413494,2,0,1
101,25,2,1,65.8383719133729,14.0737195492159,0,5,37.9474902972095,2,0,1
104,101,2,2,251.629392155161,13.3560936645281,0,6,19.4789522859577,2,0,1
103,104,2,2,90.5011367536623,2.29865994119134,0,1,26.7896884797498,2,0,1
8,101,1,2,68.0410554353498,28.3301930007294,0.22,9,26.4049763471465,2,0,1
9,48,1,1,214.187571276983,30.1951784749893,0.22,11,23.3487289312593,2,0,1
10,52,1,1,226.367243356742,25.5174047987083,0.21,15,25.9457297800986,2,0,1
11,103,1,2,365.685824543596,6.90000770159971,0.25,31,14.2320962449131,2,0,1
12,104,1,2,273.008329534386,21.1954912904365,0.26,22,18.8663309699584,2,0,1
103,104,2,2,90.5011367536623,12.1581042818141,0,3,14.9785111044492,2,0,1
14,37,1,1,85.1575677846338,36.4539803637768,0.23,34,0.0397935707005644,1,0.999999998832532,0
15,103,1,2,345.793943675926,1.67897861432823,0.22,40,11.9208218518819,2,0,0
16,49,1,1,178.026051895523,6.40946505614478,0.22,36,11.2686107412723,2,0,0
102,104,2,2,138.363732925855,15.967606810367,0,9,21.050438074636,2,0,1
18,102,1,2,379.129645000185,28.2325520549837,0.25,22,13.3624982614241,2,0,1
19,102,1,2,375.286672575087,31.8027628277701,0.26,40,24.9498543723612,2,0,1
20,102,1,2,374.078390645846,8.30321980097057,0.25,33,11.9545278965554,2,0,1
101,103,2,2,342.121227249579,19.1183765791064,0,3,13.1028538921853,2,0,1
22,104,1,2,238.233690097338,32.69400664488,0.25,3,12.6258638902309,2,0,1
23,97,1,1,105.18056757437,28.4978378520209,0.26,21,-4.31058724156888,1,0.999999999944941,0
24,48,1,1,155.394342752303,21.0870024357941,0.26,39,-25.7828541354496,1,0.99999999950793,0
102,47,2,1,235.686755807765,17.5418116203638,0,10,3.29689812410409,2,0,0
26,104,1,2,225.712802599513,19.769576824522,0.25,21,25.1605680088831,2,0,1
102,101,2,2,389.963112920384,10.2086497800846,0,6,15.7901645999848,2,0,1
28,101,1,2,71.9556974294308,21.9730775000728,0.26,27,9.59830850719432,2,0,1
104,103,2,2,90.5011367536623,13.1708103134011,0,8,32.6993218280898,2,0,1
30,81,1,1,288.037463487929,33.9625578390314,0.26,15,6.72614900029345,2,0,0
31,30,1,1,3.86676371094708,24.7446637658596,0.25,29,57.4751941833501,1,0,1
